Counter	Image	Merger (0 = no, 1 = yes)	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
49	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_315.fits	0	5.57	1	1	0.0	0.0	0.5951612249410352	-2.3947659942109656	4.1249358201973365	0.04068074294165485	0.13395303621639862	3.0565	0.090825684
50	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_320.fits	0	6.06	1	1	0.0	0.0	0.5794557229073428	-2.4000357472424283	4.282444261675884	-0.0027409477325768287	0.10144618465218233	3.105	0.16612783
51	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_005.fits	0	0.05	1	1	0.0	0.0	0.5550704359684029	-1.5982132164840346	3.247573770267109	0.06293067648664395	0.08599486189653552	0.4788	0.10341034
52	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_010.fits	0	0.1	1	1	0.0	0.0	0.5612043961243883	-1.5558635303057358	3.2650706092601935	-0.03577660962031564	0.06570385431969968	0.4737	0.15725191
53	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_020.fits	0	0.2	1	1	0.0	0.0	0.5619843692029413	-1.5463809489772775	3.2397975375276213	-0.04387432595230694	0.07882152531247608	0.4491	0.0994561
54	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_030.fits	0	0.29	1	1	0.0	0.0	0.5649039782533071	-1.5532808916347485	3.271765350019098	-0.08062978987007505	0.053260058489262366	0.4943	0.27035573
55	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_060.fits	1	0.59	1	1	0.0	0.0	0.6521695449952684	-2.26065651809634	3.3694048095838447	0.15391346299581365	0.08432252771934483	1.2664	0.17477004
56	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_080.fits	1	0.78	1	1	0.0	0.0	0.5781950395816491	-1.8890647256609685	3.6357785650946783	0.19013465009549188	0.08486625101177275	1.6345	0.36103895
57	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_100.fits	1	0.98	1	1	0.0	0.0	0.5744203834851337	-2.245371304282465	4.068390022004279	0.08061030116479985	0.16995121595951068	1.9242	0.2694219
58	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_120.fits	1	1.17	1	1	0.0	0.0	0.6256971683234853	-2.20031419730982	3.825107735798726	0.1067982905365989	0.08816788966809011	2.0869	0.10445745
59	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_140.fits	1	1.37	1	1	0.0	0.0	0.6219488170177482	-2.3594057721563697	4.080757042814839	0.007437605553930186	0.11186330854969126	2.31	0.091846295
60	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_160.fits	1	1.56	1	1	0.0	0.0	0.6269090196052364	-2.1006238648433224	4.205680702595015	0.08381330542933962	0.08715016705239025	2.5265	0.0872093
61	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_180.fits	1	1.76	2	2	7.501486766431348	3.3490374192637744	0.6312371227473821	-1.198910952749493	4.2979453604454445	0.4378072595155315	0.11797734989930585	3.088	0.26898533
62	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_185.fits	1	1.81	2	2	5.813772067661608	3.79245119006377	0.5678419323033176	-1.100051693639034	1.6296960093711768	0.6396625083954863	0.15513473074059467	3.2301	0.3326587
63	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_190.fits	1	1.86	2	2	3.920312707375672	4.856014781020042	0.6217903135171539	-2.094436076955131	4.3210963294120495	0.2430201978543599	0.11157397951219912	3.4737	0.37564254
